time	I(D)	I(L1)	I(a)
1.323595238095273e-002	4.500000e-002	1.610796e+002	1.610946e+002
1.333333333333342e-002	4.500000e-002	1.549191e+002	1.549341e+002
1.341833333333344e-002	4.500000e-002	1.497359e+002	1.497509e+002
1.342833333333345e-002	2.373413e+001	1.491999e+002	1.492149e+002
1.343833333333345e-002	7.126724e+001	1.488532e+002	1.488682e+002
1.344833333333345e-002	9.542027e+001	1.486950e+002	1.487100e+002
1.350261904761918e-002	9.873585e+001	1.481834e+002	1.481984e+002
1.355690476190491e-002	1.019838e+002	1.476823e+002	1.476973e+002
1.361119047619064e-002	1.051641e+002	1.471916e+002	1.472066e+002
1.366547619047638e-002	1.082768e+002	1.467113e+002	1.467263e+002
1.371976190476211e-002	1.113219e+002	1.462414e+002	1.462564e+002
1.377404761904784e-002	1.142993e+002	1.457820e+002	1.457970e+002
1.382833333333357e-002	1.172091e+002	1.453330e+002	1.453480e+002
1.383833333333357e-002	1.245382e+002	1.453137e+002	1.453287e+002
1.384833333333357e-002	1.386373e+002	1.454815e+002	1.454965e+002
1.385833333333358e-002	1.458808e+002	1.458358e+002	1.458508e+002
1.389833333333359e-002	1.475308e+002	1.474858e+002	1.475008e+002
1.393833333333360e-002	1.491556e+002	1.491106e+002	1.491256e+002
1.397833333333361e-002	1.507552e+002	1.507102e+002	1.507252e+002
1.401833333333363e-002	1.523296e+002	1.522846e+002	1.522996e+002
1.405833333333364e-002	1.538788e+002	1.538338e+002	1.538488e+002
1.409833333333365e-002	1.554028e+002	1.553578e+002	1.553728e+002
1.413833333333366e-002	1.569015e+002	1.568565e+002	1.568715e+002
1.414833333333367e-002	1.178733e+002	1.571030e+002	1.178414e+002
1.415833333333367e-002	3.935202e+001	1.569742e+002	3.931640e+001
1.416833333333367e-002	4.500000e-002	1.564717e+002	7.501565e-003
1.428571428571438e-002	4.500000e-002	1.492871e+002	7.501494e-003
1.442071428571442e-002	4.500000e-002	1.414324e+002	7.501415e-003
1.443071428571442e-002	3.524568e+001	1.409919e+002	3.521006e+001
1.444071428571443e-002	1.057559e+002	1.409276e+002	1.057240e+002
1.445071428571443e-002	1.412827e+002	1.412377e+002	1.412527e+002
1.466071428571449e-002	1.500338e+002	1.499888e+002	1.500038e+002
1.467071428571450e-002	1.397552e+002	1.503250e+002	1.503400e+002
1.468071428571450e-002	1.188404e+002	1.504728e+002	1.504878e+002
1.469071428571450e-002	1.086864e+002	1.504329e+002	1.504479e+002
