time	V(U1M)	V(U1U2)	V(u1)
6.399285714285921e-003	-2.499064e+002	1.034609e-001	9.364161e-002
6.425000000000215e-003	-2.499066e+002	1.008372e-001	9.337917e-002
6.435000000000218e-003	-1.874068e+002	9.983314e-002	9.317509e-002
6.445000000000221e-003	-6.240735e+001	9.883912e-002	9.266210e-002
6.455000000000224e-003	9.182828e-002	9.785499e-002	9.184328e-002
6.500000000002178e-003	8.779222e-002	9.354395e-002	8.779775e-002
6.500000000006355e-003	8.781113e-002	9.354395e-002	8.779775e-002
6.500000000020677e-003	8.778278e-002	9.354395e-002	8.779775e-002
6.500000000039773e-003	8.777099e-002	9.354395e-002	8.779775e-002
6.500000000307114e-003	8.775634e-002	9.354395e-002	8.779775e-002
6.500000000841798e-003	8.778480e-002	9.354395e-002	8.779775e-002
6.500000002063931e-003	8.779159e-002	9.354395e-002	8.779775e-002
6.500000003286065e-003	8.779639e-002	9.354395e-002	8.779775e-002
6.500000004508198e-003	8.779918e-002	9.354395e-002	8.779775e-002
6.500000005730332e-003	8.779998e-002	9.354395e-002	8.779775e-002
6.500000006952465e-003	8.779877e-002	9.354395e-002	8.779775e-002
6.500000008174599e-003	8.779556e-002	9.354395e-002	8.779775e-002
6.500000009396732e-003	8.779035e-002	9.354395e-002	8.779775e-002
6.500000018868267e-003	8.778715e-002	9.354394e-002	8.779774e-002
6.500000020003105e-003	8.779398e-002	9.354394e-002	8.779774e-002
6.500000021137944e-003	8.779859e-002	9.354394e-002	8.779774e-002
6.500000022272781e-003	8.780096e-002	9.354394e-002	8.779774e-002
6.500000023407620e-003	8.780111e-002	9.354394e-002	8.779774e-002
6.500000024542458e-003	8.779903e-002	9.354394e-002	8.779774e-002
6.500000025677297e-003	8.779472e-002	9.354394e-002	8.779774e-002
6.500000026812135e-003	8.778819e-002	9.354394e-002	8.779774e-002
6.550252029379915e-003	8.347975e-002	8.895855e-002	8.349475e-002
6.560252029379918e-003	-6.241724e+001	8.807280e-002	8.276720e-002
6.570252029379921e-003	-1.883518e+002	8.719581e-002	8.235628e-002
6.579957510233138e-003	-2.499177e+002	8.635271e-002	8.226321e-002
6.597097602657628e-003	-2.499177e+002	8.488441e-002	8.228072e-002
